cik,name,sic,st
1056402,"NORWEST ASSET SEC CORP MORT PS THR CERT SER 1998-3 TRUST",6189,MD
1056403,"NORWEST ASSET SEC CORP MORT PS THR CERT SER 1998-2 TRUST",6189,MD
1056404,"NORWEST ASSET SEC CORP MORT PS THR CERT SER 1998-1 TRUST",6189,MD
1056583,"MASON DIXON CAPITAL TRUST II",6022,MD
1056588,"SCHAEFER ROBERT A",6021,WI
1056589,"BOLGER THOMAS M",6021,WI
1056614,"EMPIRE FUNDING HOME LOAN OWNER TRUST 1998-1",6189,NY
1056615,"COUNTRYWIDE HOME EQUITY LOAN ASSET BACKED CERT SER 1998-A",6189,CA
1056656,"HOUSEHOLD CAPITAL TRUST IV",6189,IL
1056669,"NATCOM BANCSHARES INC",6021,WI
1056671,"CWABS INC ASSET BACKED CERTIFICATES SERIES 1998-1",6189,CA
1056672,"ANSON BANCORP INC",6036,NC
1056678,"DLJ MORT ACC CORP CENTEX HM EQU LN PASS THRU CERT SER 1998-1",6189,NY
1056679,"WATTS GILBERT H JR",6798,GA
1056680,"WATTS CLIFFORD K",6798,GA
1056681,"REED STEPHANIE A",6798,GA
1056682,"GREENBLATT PHIL D",6798,GA
1056683,"BENDER THOMAS B",6798,GA
1056762,"CWMBS INC RESIDENTIAL ASSET SECURITIZATION TRUST 1998-A2",6189,CA
1056763,"CWMBS INC RESIDENTIAL ASSET SECURITIZATION TRUST 1998-A3",6189,CA
1056766,"MORTGAGE PASS THROUGH CERTIFICATES SERIES 1998-C6",6189,MA
1056811,"FIRST KANSAS FINANCIAL CORP",6035,KS
1056834,"ACCEPTANCE INSURANCE CO",6331,NE
1056861,"NB FINANCE LTD",6029,MD
1056863,"MORTGAGE PASS THROUGH CERTIFICATES SERIES 1998-3",6189,CA
1056869,"BANKBOSTON CAPITAL TRUST IV",6021,NY
1056880,"CLARION COMMERCIAL HOLDINGS INC",6798,NY
1056882,"CALNEVA CAPITAL CORP",6770,CO
1056883,"STUDIO CAPITAL CORP",6770,CO
1056909,"FLEET BANK NATIONAL ASSOCIATION /RI/",6189,RI
1056928,"ML JWH STRATEGIC JOINT VENTURE LLC",6200,NY
1056930,"GOLDEN NATIONAL MORTGAGE LOAN ASSET BACKED CERT SER 1998-GN1",6189,NY
1056934,"CASEY EDWARD J",6211,NY
1056942,"STRUCTURED ASSET SEC CORP MORT PASS THRO CERT SER 1998-2 TR",6189,MD
1056943,"PEOPLES FINANCIAL SERVICES CORP.",6021,PA
1056944,"STRUCTURED ASSET SEC CORP MORT PASS THRO CERT SER 1998-1 TR",6189,MD
1057007,"HUDSON RIVER BANCORP INC",6036,NY
1057017,"CLOVER COMMUNITY BANKSHARES INC",6022,SC
1057051,"MANAGED FUTURES PREMIER ENERGY FUND L.P.",6200,NY
1057055,"TIMBERLAND GROWTH CORP",6798,WA
1057114,"FINANCIAL GROUP CONNECTION INC",6770,NV
1057159,"PACIFIC COMMUNITY BANKING GROUP",6022,CA
1057210,"HERMANS JOSEF C",6798,TX
1057230,"BROOKS WILLIAM C",6798,TX
1057262,"RECEIPTS ON CORPORATE SECURITIES TRUST SERIES FDX 1997 1",6189,NY
1057332,"ASSOCIATES HOME EQUITY LOAN TRUST 1998-1",6189,TX
1057373,"IXC INTERNET SERVICES INC",6189,TX
1057380,"VANDERBILT MORT & FIN INC MAN HO CO SE SU PA TH CE SE 1998A",6189,TN
1057387,"UACSC 1998-A AUTO TRUST",6189,FL
1057412,"JWGENESIS FINANCIAL CORP /",6211,FL
1057436,"STRATEGIC HOTELS & RESORTS, INC",6798,IL
1057437,"FVNB CORP",6021,TX
1057445,"CHASE MANHATTAN AUTO OWNER TRUST 1998-B",6189,DE
1057459,"DEUTSCHE MORTGAGE & ASSET RECEIVING CORP SERIES 1998-C1",6189,MA
1057471,"IMC HOME EQUITY LOAN TRUST 1998-1",6189,NY
1057475,"NOMURA ASSET SECURITIES CORP SERIES 1998-D6",6189,NY
1057538,"FINANCIAL PACIFIC CO",6172,WA
1057562,"LEHMAN ABS CORP WMC MORT LOAN ASSET BACK CERT SERIES 1998-1",6189,NY
1057570,"LIBERTY BANCORP INC /NJ/",6021,NJ
1057637,"CHAPMAN CAPITAL MANAGEMENT HOLDINGS INC",6282,MD
1057653,"THATLOOK COM INC/NV",6770,PA
1057671,"EQUITABLE RESOURCES CAPITAL TRUST I",6036,PA
1057672,"PBOC HOLDINGS INC",6035,CA
1057689,"CapLease, Inc.",6798,NY
1057694,"INDYMAC MANUFACTURED HOUSING CON PASS THR CERT SERIES 1998-1",6189,NY
1057695,"NETWORK 1 FINANCIAL GROUP, INC.",6211,NJ
1057706,"FIRST BANCORP /PR/",6022,PR
1057749,"NORTHSTAR CAPITAL INVESTMENT CORP /MD/",6500,NY
1057802,"VADASZ NANCY S",6036,TX
1057816,"GRAHAM DAVID R",6036,TX
1057818,"PCB HOLDING CO",6035,IN
1057821,"BIRD JOHN D",6036,TX
1057822,"GARRETT GARY R",6036,TX
1057823,"WYLIE CATHERINE N",6036,TX
1057825,"STONE CLAYTON T",6036,TX
1057829,"JOHNSON ROBERT E JR",6036,TX
1057832,"FRANK DENNIS S",6036,CA
1057835,"FLOWERS D FORT JR",6036,TX
1057838,"ALLDAY R EDWIN",6036,TX
1057878,"GBT BANCORP",6022,MA
1057928,"MORTGAGE PASS THROUGH CERTIFICATES SERIES 1998-C2",6189,NY
1057929,"MORTGAGE PASS THROUGH CERTIFICATES SERIES 1998-C1-CTL",6189,NY
1057971,"NORTHFIELD BANCORP INC",6035,MD
1058062,"OMI TRUST 1998-A",6189,PA
1058214,"HEALTHCARE FINANCIAL PARTNERS REIT INC",6798,MD
1058236,"FIRST ALLIANCE MORTGAGE LOAN TRUST 1998-1F",6189,DE
1058237,"FIRST ALLIANCE MORTGAGE LOAN TRUST 1998-1A",6189,CA
1058240,"REALTRUST ASSET CORP",6162,UT
1058244,"OCWEN MORTGAGE LOAN ASSET BACKED CERT SERIES 1998 OFS1",6189,MD
1058250,"AMRESCO RESIDENTIAL SECURITIES CORP MORTGAGE LOAN TR 1998-2",6282,MN
1058259,"WASHINGTON MUTUAL BANK FA",6036,WA
1058266,"PROVIDENT BANK HM EQ LN TR 1997-3 ASS BK CERT SER 1997-3",6189,CA
1058269,"BA MORTGAGE SECURITIES INC MORT PS THR CERT SER 1997-3",6189,CA
1058271,"BA MORTGAGE SECURITIES INC MORT PS THR CERT SER 1997-2",6189,CA
1058374,"DELTA FUNDING HOME EQUITY LN 1997-3 HOME EQUITY CERT 1997-3",6770,CA
1058421,"MELLON RESIDENTIAL FUNDING CORP MORT PAS THR CER SER 1998-1",6189,PA
1058438,"CFS BANCORP INC",6035,IN
1058539,"THISTLE GROUP HOLDINGS CO",6035,PA
1058553,"NEWCOM INTERNATIONAL INC",6770,AZ
1058575,"CHICAGO TITLE CORP",6361,IL
1058586,"STAR TECH HEALTH SERVICES INC",6770,NV
1058603,"IMPERIAL CMB TRUST SERIES 1998-1",6162,DE
1058612,"FLEET CAPITAL TRUST VI",6021,MA
1058613,"FLEET CAPITAL TRUST VII",6021,MA
1058614,"FLEET CAPITAL TRUST VIII",6021,MA
1058649,"AMSOUTH AUTOCORP INC",6189,AL
1058657,"STATE STREET CAPITAL TRUST III",6022,DE
1058662,"IMPAC CMB TRUST SERIES 1998-2",6162,CA
1058668,"COMMERCIAL MORTGAGE PASS THROUGH CERTIFICATES SER 1997 ML1",6189,MO
1058669,"CWMBS INC MORT PASS THROUGH CERT SERIES 1998-4",6189,CA
1058673,"ML REVOLVING HOME EQUITY LOAN TRUST 1997-1",6189,FL
1058690,"WASHINGTON BANKING CO",6022,WA
1058729,"FIRST OMNI BANK CREDIT CARD MASTER TRUST",6189,AZ
1058736,"CR RESORTS CAPITAL S DE R L DE C V",6552,TX
1058737,"RAINTREE RESORTS INTERNATIONAL INC",6552,TX
1058762,"MORTGAGE LOAN ASSET BACKED PASS THROUGH CERT TRUST 1996-D",6189,FL
1058802,"FLORIDA BANKS INC",6021,FL
1058833,"HOME EQUITY LOAN ASSET BACKED CERTIFICATES 1998-1",6189,OH
1058855,"TRANSITION AUTO FINANCE II INC",6141,TX
1058867,"GUARANTY BANCSHARES INC /TX/",6021,TX
1058926,"RURAL ELECTRIC COOPERATIVE GRANTOR TRUST KEPCO SERIES 1997",6189,VA
1058973,"FIRST CAPITAL BANCORP, INC.",6022,GA
1058979,"STATE STREET CAPITAL TRUST II",6022,DE
1058986,"PINNACLE HOLDINGS INC",6798,FL
1058988,"LINCOLN NATIONAL CAPITAL V",6311,IN
1058989,"LINCOLN NATIONAL CAPITAL VI",6311,IN
1058990,"NATIONSLINK FUNDING CORP COMM MORT PASS THR CERT SER 1998-1",6189,MD
1058991,"NEW SOUTH BANCSHARES INC",6035,AL
1058992,"NEW CENTURY ASSET BACKED FLOATING RATE CERT SER 1998-NC1",6189,NY
1058993,"SELLER & MASTER SERVICER RESIDENTIAL ASS SEC TR 1998-A4",6189,CA
1058994,"IMPAC SEC ASS CMN TR SER 1998-1 COLL ASS BACK NOT SER 1998-1",6189,CA
1058995,"CNBT BANCSHARES INC",6021,TX
1058999,"GREEN TREE FLOORPLAN RECIEVABLES MASTER TRUST",6189,MN
1059001,"DLJ COMMERCIAL MORTGAGE CORP SERIES 1998-CF1",6189,MD
1059002,"STRUCTURED ASSET SECURITIES CORP SERIES 1998-C1",6189,NY
1059022,"AIC INTERNATIONAL RESOURCES CORP",6500,A1
1059031,"NORWEST ASSET SEC CORP MORT PASS THRU CERT SERI 1998-5 TRUST",6189,MD
1059067,"IRWIN HOME EQUITY CORP TRUST 1997-1",6189,NY
1059068,"IRWIN HOME EQUITY CORP TRUST 1997-2",6189,NY
1059069,"SAXON ASSET SECURITIES TRUST 1998-1",6189,VA
1059078,"HOMESTEAD BANCORP INC",6035,DC
1059089,"FRANKLIN BEN FINANCIAL INC",6035,IL
1059107,"AMRESCO RESIDENTIAL SECURITIES CORP MORTGAGE LOAN TR 1998-1",6282,CA
1059131,"NASB FINANCIAL INC",6035,MO
1059142,"AMERICA FIRST MULTIFAMILY INVESTORS, L.P.",6199,NE
1059164,"MONEY STORE RESIDENTIAL TRUST 1998-I",6162,NJ
1059165,"MONEY STORE HOME EQUITY LOAN TRUST 1998-A",6189,NJ
1059166,"WACHOVIA SBA LENDING INC SERIES 1998-1",6162,NJ
1059169,"NEW SOUTH CAPITAL TRUST I",6035,AL
1059189,"NITTANY FINANCIAL CORP",6035,PA
1059255,"AMERICAN BANCORPORATION CAPITAL TRUST I",6022,WV
1059265,"FOREVER ENTERPRISES INC",6311,MO
1059358,"SSB VEHICLE SEC INC HYUNDAI AUTO RECEIVABLES TRUST 1998-A",6189,NY
1059376,"CORPORATE BOND BACKED CERT TR SER 1998-CAT 1",6189,NY
1059377,"CORPORATE BOND BACKED CERT TR SER 1998-ADM 1",6189,NY
1059378,"CORPORATE BOND BACKED CERT TR SER 1998-NSC 1",6189,NY
1059385,"IMPAC SECURED ASSETS CMN TRUST SERIES 1998-1",6189,CA
1059420,"FRONTIER NATIONAL CORP",6021,AL
1059425,"CORPORATE BOND BACKED CERTIFICATES TRUST SERIES 1997-CHR-1",6189,NY
1059427,"CORPORATE BOND BACKED CERT TRUST SERIES 1997-BELLSOUTH-1",6189,NY
1059486,"CALLABLE ZERO COUPON TRUST CERT SERIES 1997 TVA 1",6189,NY
1059487,"CALLABLE ZERO COUPON TRUST CERT SERIES 1997 TVA 2",6189,NY
1059489,"CALLABLE TREASURY STRIP TRUST CERT SERIES 1997 USTS 3",6189,NY
1059569,"SOUTHSIDE CAPITAL TRUST I",6022,TX
1059579,"TRANSNATIONAL FINANCIAL NETWORK, INC.",6162,CA
1059722,"ANDERSON TULLY CO",6798,TN
1059749,"UNITED VENTURE CAPITAL FUND INC",6770,CO
1059762,"CENTEX HOME EQ CORP HOME EQ LOAN ASS BACK CERT SR 1991 1 TR",6189,MD
1059798,"PRIME RETAIL LP",6512,MD
1059803,"FINANCIAL PACIFIC INSURANCE GROUP INC",6331,CA
1059835,"USABANCORP CAPITAL TRUST I",6021,PA
1059882,"BANC ONE AUTO GRANTOR TRUST 1997-B",6189,TX
1059885,"HONG KONG WINALITE GROUP, INC.",6770,K3
1059926,"EBS BUILDING LLC",6798,MO
1059977,"AMERICAN FINANCE GROUP INC /DE/",6159,MA
1060021,"BlackRock Holdco 2, Inc.",6282,NY
1060198,"FCNB CAPITAL TRUST",6022,MD
1060212,"AGRI BIO SCIENCES INC",6159,TX
1060219,"SALISBURY BANCORP INC",6035,CT
1060224,"LIFE STORAGE LP",6500,NY
1060244,"PEOPLES BANCORP INC/MD",6021,MD
1060256,"MONARCH PROPERTIES INC",6798,FL
1060262,"ORION CAPITAL TRUST II",6351,NY
1060264,"PNC CAPITAL TRUST D",6021,PA
1060265,"PNC CAPITAL TRUST E",6021,PA
1060294,"CASTLE DAVID B",6022,IL
1060295,"CASTLE JOHN L",6022,IL
1060296,"CASTLE AMY W",6022,NC
1060298,"CASTLE HARRY D",6022,CA
1060303,"MURFREESBORO BANCORP INC",6021,TN
1060330,"GLACIER BANCORP INC /WA",6022,WA
1060349,"GAMCO INVESTORS, INC. ET AL",6211,NY
1060355,"WFS FINANCIAL 1998-B OWNER TRUST",6189,DE
1060363,"LONE STAR LIQUIDATING TRUST",6021,TX
1060383,"AMERICA FIRST REAL ESTATE INVESTMENT PARTNERS L P",6513,NE
1060386,"BRANDYWINE OPERATING PARTNERSHIP, L.P.",6798,PA
1060455,"KILLBUCK BANCSHARES INC",6021,OH
1060504,"SUCCESS CAPITAL TRUST I",6021,IL
1060516,"NORWEST ASSET SECURITIES CORP MOR PAS THR CERT SER 1998-6 TR",6189,MD
1060518,"NORWEST ASSET SECURITIES CORP MOR PAS THR CERT SER 1998-7 TR",6189,MD
1060519,"NORWEST ASSET SECURITIES CORP MOR PAS THR CERT SER 1998-8 TR",6189,MD
1060520,"NORWEST ASSET SECURITIES CORP MOR PAS THR CERT SER 1998-9 TR",6189,MD
1060521,"STRUCTURED ASSET SECURITIES CORP MO PA TH CE SE 1998-3 TR",6189,MD
1060523,"CARDINAL FINANCIAL CORP",6021,VA
1060524,"SOUTHERN PACIFIC SE AS COR MT LN AS BK PA TH CE SE 1998-1 TR",6189,MD
1060558,"MAIN STREET BANCORP INC",6022,PA
1060587,"CWMBS INC MORTGAGE PASS THROUGH CERTIFICATES SERIES 1998 5",6189,CA
1060589,"CWMBS INC MORTGAGE PASS THROUGH CERTIFICATES SERIES 1998 6",6189,CA
1060590,"CWMBS INC SERIES 1998 7",6189,CA
1060613,"INDYMAC RAST 1998-A5",6189,CA
1060743,"CRESTAR SECURITIZATION LLC",6189,VA
1060744,"HORIZON GROUP PROPERTIES INC",6798,IL
1060763,"BA MORTGAGE SECURITIES INC MORT PASS THR CERT SERIES 1998-1",6189,CA
1060764,"INDYMAC ABS INC",6189,CA
1060770,"SUPERIOR FINANCIAL CORP /AR/",6035,AR
1060846,"FIRST RESERVE INC",6770,FL
1060907,"STRUCTURED ASSET SEC CORP MORT PASS THRO CERT SERIES 1998-4",6189,MD
1060908,"STRUCTURED ASSET SEC CORP MORT PASS THRO CERT SERIES 1998-5",6189,MD
1060937,"ADVANTA REVOLVING HOME EQUITY LOAN TRUST 1997-A",6189,CA
1060939,"FIRST FEDERAL BANC OF THE SOUTHWEST INC",6035,NM
1061015,"RTICA CORP",6770,A6
1061063,"NATIONAL VENTURE CAPITAL FUND INC",6770,CO
1061068,"GB&T BANCSHARES INC",6022,GA
1061103,"ABSOLUTEFUTURE COM",6770,WA
1061198,"FORD CREDIT FLOORPLAN LLC",6189,MI
1061234,"MIDLAND CAPITAL HOLDINGS CORP",6035,IL
1061288,"CHELSEA OIL & GAS LTD.",6792,A1
1061294,"ABINGTON BANCORP CAPITAL TRUST",6022,MA
1061391,"HUNTER TERRI A",6531,TX
1061497,"MORTGAGE LENDERS NETWK HM EQ LN TR AST BCK NTS SER 1998-1 TR",6189,MD
1061580,"UCBH HOLDINGS INC",6022,CA
1061586,"ABI CAPITAL TRUST",6022,FL
1061630,"BLACKSTONE MORTGAGE TRUST, INC.",6798,NY
1061692,"SEACOAST FINANCIAL SERVICES CORP",6036,MA
1061708,"MEADOWS PRESERVATION INC",6519,FL
1061773,"FIRST UNION COMMERCIAL MORTGAGE PASS THR CERT SER 1998 C2",6189,NC
1061775,"PREMIER AUTO TRUST 1998-1",6189,MT
1061776,"PREMIER AUTO TRUST 1998-2",6189,MT
1061879,"MERRILL LYNCH DEP INC PUBLIC STEERS TRUST CERT SER 1998 H-Z3",6189,NY
1062013,"STRATEGIC TIMBER TRUST INC",6798,NH
1062050,"MERRILL LYNCH DEP INC PUBLIC STEERS TRUST CERT SER 1998 F-Z4",6189,NY
1062110,"BEADLE BRIAN L",6036,WI
1062129,"EQCC HOME EQUITY LOAN TRUST 1998-1",6189,FL
1062140,"NATIONS MORTGAGE SECURITIES CORP",6189,NC
1062175,"COMMERCIAL MORTGAGE PASS THROUGH CERT SERIES 1998 GL II",6189,NY
1062232,"MARINER CAPITAL TRUST",6022,MD
1062238,"HUNTINGTON CAPITAL III",6021,OH
1062296,"CWMBS INC ASSET SEC TRUST 1998-A7",6189,CA
1062336,"DEUTSCHE RECREATIONAL ASSET FUNDING CORP",6189,NV
1062357,"CHASE MANHATTAN AUTO OWNER TRUST 1998-C",6189,DE
1062377,"STRUCTURED ASSET MORT INV INC MORT PASS THR CERT SER 1998-6",6189,NY
1062384,"ATHERTON CAPITAL INC",6162,CA
1062391,"COPELCO CAPITAL FUNDING CORP XI",6189,NJ
1062421,"TELEBANC CAPITAL TRUST II",6035,VA
1062423,"FINGER LAKES FINANCIAL CORP",6770,NY
1062438,"PULASKI FINANCIAL CORP",6035,MO
1062506,"ATLANTICA INC",6770,IL
1062508,"INSIGNIA PROPERTIES TRUST /",6798,CO
1062516,"STRUCTURED ASSET MORT INV INC MORT PASS THR CERT SER 1998-7",6189,NY
1062528,"LEONE ANTHONY",6021,NY
1062565,"SPECIALTY TRUST INC",6798,NV
1062604,"BA MORTGAGE SECURITIES INC MORT PASS THR CERT SERIES 1998-2",6189,CA
1062611,"SELLER & MASTER SERVICER RESIDENTIAL ASS SEC TR 1998-A6",6189,CA
1062616,"WSFS CAPITAL TRUST I",6021,DE
1062617,"WSFS CAPITAL TRUST II",6021,DE
1062668,"BEACON LIGHT HOLDING CORP/CT",6770,CT
1062675,"OPPENHEIMER CAPITAL PRESERVATION FUND",6798,CO
1062692,"NORWEST ASSET ACCEPTANCE CORP ASS BKED CERT SER 1998-HE1 TR",6189,MD
1062697,"NORWEST ASSET SEC CORP MORT PASS THR CERT SER 1998-10 TR",6189,MD
1062706,"NORWEST ASSET SEC CORP MORT PASS THR CERT SER 1998-11 TR",6189,MD
1062763,"MASTER FINANCIAL ASSET SECURITIZATION TRUST 1998-2",6189,NY
1062767,"CWMBS INC MORTGAGE PASS THROUGH CERTIFICATES SERIES 1998-9",6189,CA
1062768,"CWABS INC COUNTRYWIDE HOME EQUITY LOAN TRUST 1998-B",6189,CA
1062772,"CWMBS INC MORTGAGE PASS THROUGH CERT SERIES 1998 10",6189,CA
1062773,"CWMBS INC MORTGAGE PASS THROUGH CERT SERIES 1998 8",6189,CA
1062780,"COBALT CORP",6324,WI
1062794,"CHEC ASSET RECEIVABLE CORP",6189,NY
1062798,"DLJ MORTGAGE ACCEPTANCE ACCEP CORP MOR PAS THR CER SE 1998-2",6189,NY
1062799,"SALOMON BROTHERS MORT SEC VII INC ASSET BK CERT SER 1998-AQ1",6189,MD
1062800,"VANDERBILT MORT & FIN INC PASS THROU CERT SER 1998B",6189,TN
1062815,"PROVIDIAN FINANCING I",6153,CA
1062816,"PROVIDIAN FINANCING II",6153,CA
1062817,"PROVIDIAN FINANCING III",6153,CA
1062818,"PROVIDIAN FINANCING IV",6153,CA
1062834,"BARON CAPITAL PROPERTIES LP",6513,FL
1062958,"ASSET BACKED FLOATING RATE CERTIFICATES SERIES 1998-NC2",6189,NY
1062980,"INVESTMENT MANAGEMENT OF AMERICA INC",6531,FL
1063016,"MITSUI VENDOR LEASING 1998-1 LLC",6799,CA
1063075,"SACHS MARLENE",6021,IL
1063103,"PREMIER MORTGAGE RESOURCES INC",6162,NY
1063111,"RAKO CAPITAL CORP",6770,UT
1063167,"INSURANCE MANAGEMENT SOLUTIONS GROUP INC",6331,FL
1063227,"CGB&L FINANCIAL GROUP INC",6036,IL
1063256,"ONYX ACCEPTANCE OWNER TRUST 1998-A",6189,CA
1063257,"INNES STREET FINANCIAL CORP",6035,NC
1063261,"HDF INC",6770,CO
1063267,"FRANKLIN RECEIVABLES LLC",6189,UT
1063268,"CIT RV TRUST 1998-A",6153,NJ
1063292,"ACE SECURITIES CORP",6189,NC
1063300,"PACIFCARE OPERATIONS INC",6324,CA
1063344,"HERSHA HOSPITALITY TRUST",6798,PA
1063368,"HARTFORD LIFE CAPITAL II",6311,CT
1063393,"GREAT LAKES REIT",6798,IL
1063438,"WEST ESSEX BANCORP INC",6035,NJ
1063489,"SUNBURST ACQUISITIONS V INC",6770,K3
1063492,"SUNBURST ACQUISITIONS VI INC",6770,CO
1063494,"KBW, INC.",6211,NY
1063502,"PREMIER AUTO TRUST 1998-3",6189,MT
1063522,"PORTFOLIO BOOST I LP",6221,IL
1063528,"UNIQUE VIDEO PRODUCTS INC",6159,CO
1063568,"FARNSWORTH BANCORP INC",6035,NJ
1063570,"MORTGAGE LOAN ASSET BACKED CERTIFICATES SERIES 1998-FF1",6189,NY
1063588,"SOUTHERN CAPITAL TRUST I",6022,NC
1063701,"DRIVINGAMERICA COM INC",6770,CA
1063727,"PULLON LYNDA K",6022,CA
1063728,"SHAFFER C RANDY",6022,CA
1063729,"ASHAMALLA MOUNIR R",6022,CA
1063731,"NELLIS MICHEL",6022,CA
1063761,"SIMON PROPERTY GROUP INC /DE/",6798,IN
1063786,"BANK ONE DE NA AS SERV ON BEHALF PART CREDIT CARD MAS TR",6189,DE
1063836,"CHASE CAPITAL VII",6021,NY
1063838,"CHASE CAPITAL VIII",6021,NY
1063839,"CHASE CAPITAL IX",6021,NY
1063893,"BEACON CAPITAL PARTNERS INC",6798,MA
1063918,"CNY FINANCIAL CORP",6035,NY
1063939,"SERVICE BANCORP INC",6022,MA
1063942,"GOUVERNEUR BANCORP INC",6035,NY
1063980,"CLARK INC",6411,IL
1063997,"HARRINGTON WEST FINANCIAL GROUP INC/CA",6035,CA
1064025,"AF FINANCIAL GROUP",6021,NC
1064063,"MIIX GROUP INC",6399,NJ
1064105,"BANNER HOLDING CORP",6770,OK
1064122,"SCOTTISH RE GROUP LTD",6311,E9
1064158,"CYGNET FINANCIAL CORP",6141,AZ
1064160,"IBL BANCORP",6036,LA
1064203,"UACSC 1998-B AUTO TRUST",6189,FL
1064236,"SOUND FEDERAL BANCORP INC",6035,NY
1064270,"DISTRIBUTION MANAGEMENT SERVICES INC",6500,NY
1064340,"LEHMAN ABS CORP HOME EQUITY LOAN ASSET BACK CERT SER 1998-2",6189,MD
1064352,"IMC HOME EQUITY LOAN TRUST 1998-3",6189,NY
1064358,"DLJ COMMERCIAL MORT CORP COMM MORT PASS THR CER SER 1998-CG1",6189,MD
1064359,"TOYOTA AUTO LEASE TRUST 1998-B",6189,CA
1064416,"CENTEX HOME EQUITY LOAN TRUST 1998-2",6189,MD
1064420,"FELDE KURT C",6021,IL
1064617,"ADVANTA REVOLVING HOME EQUITY LOAN TRUST 1998-A",6189,CA
1064664,"LEHMAN HOME EQUITY LAON TRUST 1997-1",6189,CA
1064665,"LEHMAN HOME EQUITY LOAN TRUST 1997-2",6189,CA
1064666,"PROVIDENT BANK HOME EQUITY LOAN TRUST 1998-1",6189,CA
1064709,"ADVANTA AUTOMOBILE RECEIVABLES 1998-1",6189,PA
1064732,"NORWEST ASSET SEC CORP MORT PASS THRO CERT SER 1998-12 TR",6189,MD
1064733,"NORWEST ASSET SEC CORP MORT PASS THRO CERT SER 1998-13 TR",6189,MD
1064734,"NORWEST ASSET SEC CORP MORT PASS THRO CERT SER 1998-14 TR",6189,MD
1064863,"AMERIGROUP CORP",6324,VA
1064876,"PAINEWEBBER MORT ACC CORP IV EMP FD HM LN AS BK NT SR 1998-2",6189,NY
1064919,"HOME EQUITY LOAN ASSET BACKED CERTIFICATES SERIES 1998-2",6189,OH
1064981,"SOUTHERN PACIFIC COLLATERALIZED ASSET BACK NOTES SER 1998 H1",6189,OR
1065001,"Shearson American REIT, Inc.",6770,CA
1065002,"RESOURCE BANKSHARES CORP",6021,VA
1065050,"BA MORTGAGE SECURITIES INC MORT PASS THR CERT SERIES 1998-3",6189,CA
1065054,"OCWEN MORTGAGE LOAN ASSET BACKED CERT SERIES 1998-OFS2",6189,MD
1065078,"NETWORK 1 TECHNOLOGIES INC",6794,NY
1065085,"MORTGAGE PASS THROUGH CERTIFICATES SERIES 1998-13",6189,CA
1065092,"CWMBS INC RESIDENTIAL ASSET SECURITIZATION TRUST 1998-A8",6189,CA
1065105,"SALOMON BROTHERS MORT SEC VII INC ASST BACK CERT SE 1998-NC3",6189,NY
1065107,"SALOMON BROS MORT SEC VII INC MORT PA THR CERT SER 1998-WFC1",6189,NY
1065112,"PAINEWEBBER MORT ACCEPT CORP IV DITECH HOME LOAN OWNR 1998-1",6189,NY
1065115,"CWMBS INC MORT PASS THRO CERT SER 1998-12",6189,CA
1065116,"CWMBS INC MORT PASS THRO CERT SER 1998-11",6189,CA
1065157,"HOME EQUITY LOAN ASSET BACKED CERTIFICATES SERIES 1998-3",6189,NY
1065171,"FIRST AMERICA CAPITAL TRUST",6021,MO
1065173,"GREENWICH CAP ACCEPT INC SEQU MORT TR 3 MORT LN AS BCK CERT",6189,CT
1065175,"IMPAC SECURED ASSETS CORP MORTGAGE PASS THR CER SER 1998-2",6189,CA
1065191,"SAGIENT RESEARCH SYSTEMS, INC.",6282,CA
1065201,"AMERINST INSURANCE GROUP LTD",6399,D0
1065215,"CFS BANCSHARES INC",6035,AL
1065247,"DUNCAN WILLIS J",6021,SC
1065298,"SUPERIOR BANCORP",6022,AL
1065304,"HERITAGE BANCORP INC /VA/",6022,SC
1065348,"BEAR STEARNS ASSET BACKED SEC INC ASST BK CERT SER 1998-1",6189,NY
1065411,"FIRST ALLIANCE MORTGAGE LOAN TRUST 1998-2",6189,CA
1065415,"BRYANT HOPE HOLDING",6311,NC
1065420,"FCB NC CAPITAL TRUST I",6022,NC
1065432,"IMC HOME EQUITY LOAN OWNER TRUST 1998-4",6189,NY
1065444,"STRUCTURED ASSET SEC CORP MORT PASS THR CERTS SERIES 1998-6",6189,MD
1065466,"MAR MAR REALTY TRUST",6798,NC
1065467,"China Junlian Integrated Surveillance, Inc.",6770,F4
1065468,"OLM VENTURES, INC.",6770,A0
1065482,"LIBERTY BANCSHARES INC /MO",6022,MO
1065483,"GENERAL AMERICAN RAILCAR CORP II",6189,IL
1065639,"NORWEST ASSET SECURITIES CORP MOR PAS TH CERT SER 1998-12 TR",6189,MD
1065641,"NORWEST ASSET SECURITIES CORP MOR PAS TH CERT SER 1998-13 TR",6189,MD
1065643,"NORWEST ASSET SECURITIES CORP MOR PAS TH CERT SER 1998-14 TR",6189,MD
1065645,"AMERICAN COMMUNITY PROPERTIES TRUST",6552,MD
1065659,"Falcon Ridge Development Inc.",6552,NM
1065694,"MID-STATE HOMES INC",6189,FL
1065704,"NANDA VIR A",6099,GA
1065713,"ALEXANDER MICHAEL A",6022,CA
1065823,"FIRST NILES FINANCIAL INC",6035,OH
1065827,"PROVIDENT TRUST I",6022,MD
1065865,"JANUS CAPITAL GROUP INC",6282,CO
1065890,"PROVIDENT LEASE RECEIVABLES CORP",6189,OH
